"ENSG","Gene","Protein.class","Consensus.RNA.Specificity","Consensus.Enriched.Enhanced.Tissue","Consensus.Distribution","Consensus.Max","Consensus.Min","Human.brain.regional.RNA.Specificity","Human.brain.regional.Enriched.Enhanced.Tissue","Human.brain.regional.Distribution","Human.brain.regional.Max","Human.brain.regional.Min","Human.brain.domain.RNA.Specificity","Human.brain.domain.Enriched.Enhanced.Tissue","Human.brain.domain.Distribution","Human.brain.domain.Max","Human.brain.domain.Min","Human.brain.subregional.RNA.Specificity","Human.brain.subregional.Enriched.Enhanced.Tissue","Human.brain.subregional.Distribution","Human.brain.subregional.Max","Human.brain.subregional.Min","X"
"ENSG00000271254","ENSG00000271254","Predicted intracellular proteins","Low tissue specificity","","Detected in all","36.18 - testis","5.35 - pancreas","Low tissue specificity","","Detected in all","35.09 - white matter","18.37 - choroid plexus","Low tissue specificity","","Detected in all","35.09 - cerebellar white matter","14.29 - retrosplenial cortex","Low tissue specificity","","Detected in all","35.09 - cerebellar white matter","14.22 - occipital cortex",NA
"ENSG00000278704","ENSG00000278704","Predicted intracellular proteins","Low tissue specificity","","Detected in some","1.89 - retina","0.17 - smooth muscle","Low tissue specificity","","Detected in all","18.93 - hypothalamus","8.65 - choroid plexus","Low tissue specificity","","Detected in all","18.93 - tuberal hypothalamus","8.65 - choroid plexus","Low tissue specificity","","Detected in all","18.93 - ventromedial nucleus","8.57 - angular gyrus (white matter)",NA
"ENSG00000277630","ENSG00000277630","Predicted intracellular proteins","Tissue enriched","testis","Detected in single","3.40 - testis","0.00 - choroid plexus","Not detected","","Not detected","0.06 - hypothalamus","0.00 - cerebellum","Not detected","","Not detected","0.06 - supraoptic hypothalamus","0.00 - spinal cord white matter","Not detected","","Not detected","0.06 - paraventricular nucleus","0.00 - orbitofrontal gyrus, anterior",NA
"ENSG00000277196","PRODH","Human disease related genes;Mitochondrial proteins;Predicted intracellular proteins","Tissue enriched","choroid plexus","Detected in many","463.07 - choroid plexus","0.07 - ovary","Tissue enriched","choroid plexus","Detected in all","350.07 - choroid plexus","36.20 - pons","Tissue enriched","choroid plexus","Detected in all","350.07 - choroid plexus","31.54 - cerebellum","Tissue enriched","choroid plexus","Detected in all","350.07 - choroid plexus","16.21 - parieto-temporal junction (white matter)",NA
"ENSG00000278817","ENSG00000278817","Predicted intracellular proteins","Group enriched","choroid plexus;heart muscle;skeletal muscle;tongue","Detected in many","129.29 - tongue","0.34 - ovary","Low tissue specificity","","Detected in all","35.28 - choroid plexus","13.23 - white matter","Low tissue specificity","","Detected in all","35.28 - choroid plexus","9.62 - cerebellum","Low tissue specificity","","Detected in all","35.28 - choroid plexus","6.35 - corpus callosum, splenium (white matter)",NA
"ENSG00000276017","ENSG00000276017","Predicted intracellular proteins","Tissue enriched","testis","Detected in single","10.43 - testis","0.00 - tongue","Not detected","","Not detected","0.51 - choroid plexus","0.11 - basal ganglia","Not detected","","Not detected","0.51 - choroid plexus","0.06 - cerebellar nucleus","Not detected","","Not detected","0.51 - choroid plexus","0.00 - somatomor cortex, precentral gyrus (white matter)",NA
"ENSG00000276256","ENSG00000276256","Predicted intracellular proteins","Low tissue specificity","","Detected in many","64.28 - kidney","0.93 - bone marrow","Low tissue specificity","","Detected in all","13.87 - white matter","5.59 - choroid plexus","Low tissue specificity","","Detected in all","13.87 - spinal cord white matter","5.59 - choroid plexus","Low tissue specificity","","Detected in all","13.87 - lateral funiculus (white matter)","5.29 - precentral gyrus",NA
"ENSG00000278633","ENSG00000278633","Predicted intracellular proteins","Tissue enriched","testis","Detected in single","34.24 - testis","0.00 - adipose tissue","Not detected","","Not detected","0.55 - choroid plexus","0.11 - amygdala","Not detected","","Not detected","0.55 - choroid plexus","0.02 - cerebellar white matter","Not detected","","Not detected","0.55 - choroid plexus","0.01 - medial olivary nucleus",NA
"ENSG00000277400","ENSG00000277400","Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins","Low tissue specificity","","Detected in many","5.53 - ovary","0.91 - bone marrow","Low tissue specificity","","Detected in all","19.72 - medulla oblongata","8.42 - choroid plexus","Low tissue specificity","","Detected in all","19.72 - medulla oblongata","6.27 - cerebellum","Low tissue specificity","","Detected in all","19.72 - ventral medullary reticular nucleus","5.50 - cerebellar cortex",NA
"ENSG00000274847","MAFIP","Predicted intracellular proteins","Low tissue specificity","","Detected in all","14.48 - parathyroid gland","2.20 - bone marrow","Low tissue specificity","","Detected in all","11.82 - medulla oblongata","7.70 - amygdala","Low tissue specificity","","Detected in all","11.82 - medulla oblongata","5.66 - cerebellum","Low tissue specificity","","Detected in all","11.82 - motor hypoglossal nucleus","4.87 - flocculonodular lobe",NA
"ENSG00000268674","ENSG00000268674","Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins","Low tissue specificity","","Detected in many","9.60 - thyroid gland","0.36 - skeletal muscle","Low tissue specificity","","Detected in all","12.44 - hypothalamus","2.27 - choroid plexus","Low tissue specificity","","Detected in all","12.44 - tuberal hypothalamus","2.27 - choroid plexus","Low tissue specificity","","Detected in all","12.44 - ventromedial nucleus","2.27 - choroid plexus",NA
"ENSG00000277475","ENSG00000277475","Predicted membrane proteins","Tissue enhanced","pancreas;testis","Detected in many","13.84 - testis","0.00 - choroid plexus","Low tissue specificity","","Detected in all","13.98 - cerebellum","3.35 - choroid plexus","Low tissue specificity","","Detected in all","13.98 - cerebellum","2.52 - cerebellar white matter","Low tissue specificity","","Detected in all","13.98 - cerebellar cortex","2.26 - angular gyrus (white matter)",NA
"ENSG00000273748","ENSG00000273748","Predicted intracellular proteins","Low tissue specificity","","Detected in all","90.91 - gallbladder","7.23 - tongue","Low tissue specificity","","Detected in all","58.31 - cerebellum","38.94 - amygdala","Low tissue specificity","","Detected in all","58.31 - cerebellum","36.19 - epithalamus","Low tissue specificity","","Detected in all","58.31 - vermis","27.53 - posterior thalamic nucleus",NA
"ENSG00000278384","ENSG00000278384","Predicted intracellular proteins","Tissue enhanced","retina","Detected in many","5.38 - retina","0.31 - bone marrow","Low tissue specificity","","Detected in all","22.29 - white matter","12.97 - cerebellum","Low tissue specificity","","Detected in all","22.29 - cortical white matter","10.57 - retrosplenial cortex","Low tissue specificity","","Detected in all","22.29 - parieto-temporal junction (white matter)","10.51 - vermis",NA
"ENSG00000276345","ENSG00000276345","Predicted intracellular proteins","Tissue enhanced","choroid plexus","Detected in many","34.52 - choroid plexus","0.00 - tongue","Low tissue specificity","","Detected in all","6.07 - midbrain","3.86 - basal ganglia","Low tissue specificity","","Detected in all","6.07 - tegmentum","2.85 - retrosplenial cortex","Low tissue specificity","","Detected in all","6.07 - median raphe nucleus","2.08 - vermis",NA
"ENSG00000275063","ENSG00000275063","Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted secreted proteins","Tissue enhanced","intestine;lymphoid tissue;urinary bladder","Detected in many","742.78 - lymphoid tissue","0.00 - choroid plexus","Tissue enhanced","cerebral cortex","Detected in some","2.27 - cerebral cortex","0.07 - midbrain","Tissue enhanced","choroid plexus;frontal cortex","Detected in some","2.27 - frontal cortex","0.00 - mammillary body","Tissue enhanced","choroid plexus;frontal operculum","Detected in some","2.27 - frontal operculum","0.00 - somatomor cortex, precentral gyrus (white matter)",NA
"ENSG00000277856","ENSG00000277856","Predicted intracellular proteins","Tissue enhanced","intestine;lymphoid tissue;stomach 1","Detected in many","217.22 - lymphoid tissue","0.00 - choroid plexus","Low tissue specificity","","Detected in single","1.05 - white matter","0.00 - amygdala","Tissue enhanced","spinal cord white matter","Detected in single","1.05 - spinal cord white matter","0.00 - amygdala","Tissue enhanced","dorsal funiculus (white matter)","Detected in single","1.05 - dorsal funiculus (white matter)","0.00 - somatomor cortex, precentral gyrus (white matter)",NA
"ENSG00000274175","ENSG00000274175","Predicted intracellular proteins","Group enriched","epididymis;testis","Detected in some","5.94 - epididymis","0.00 - choroid plexus","Not detected","","Not detected","0.07 - pons","0.00 - choroid plexus","Not detected","","Not detected","0.07 - pons","0.00 - choroid plexus","Not detected","","Not detected","0.07 - anterior cochlear nucleus, ventral","0.00 - parahippocampal cortex (white matter)",NA
"ENSG00000273554","ENSG00000273554","Predicted membrane proteins","Tissue enhanced","skin 1;testis","Detected in some","4.47 - testis","0.00 - choroid plexus","Not detected","","Not detected","0.04 - white matter","0.01 - choroid plexus","Not detected","","Not detected","0.04 - cortical white matter","0.01 - choroid plexus","Not detected","","Not detected","0.04 - occipital cortex (white matter)","0.00 - parahippocampal cortex (white matter)",NA
"ENSG00000275869","ENSG00000275869","Predicted intracellular proteins","Tissue enhanced","testis","Detected in single","1.63 - testis","0.00 - choroid plexus","Not detected","","Not detected","0.24 - cerebral cortex","0.00 - choroid plexus","Not detected","","Not detected","0.24 - parietal cortex","0.00 - retrosplenial cortex","Not detected","","Not detected","0.24 - paracentral lobule, posterior","0.00 - parahippocampal cortex (white matter)",NA
"ENSG00000277836","ENSG00000277836","Predicted intracellular proteins","Group enriched","intestine;lymphoid tissue;salivary gland;stomach 1;urinary bladder","Detected in many","124.47 - lymphoid tissue","0.00 - choroid plexus","Not detected","","Not detected","0.45 - medulla oblongata","0.00 - choroid plexus","Not detected","","Not detected","0.45 - medulla oblongata","0.00 - choroid plexus","Not detected","","Not detected","0.45 - nucleus tractus solitarii","0.00 - somatomor cortex, precentral gyrus (white matter)",NA
"ENSG00000169789","PRY","Human disease related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins","Tissue enriched","epididymis","Detected in single","1.21 - epididymis","0.00 - choroid plexus","Not detected","","Not detected","0.30 - hypothalamus","0.03 - choroid plexus","Not detected","","Not detected","0.30 - supraoptic hypothalamus","0.01 - retrosplenial cortex","Not detected","","Not detected","0.30 - paraventricular nucleus","0.00 - somatomor cortex, precentral gyrus (white matter)",NA
"ENSG00000114374","USP9Y","Disease related genes;Enzymes;Human disease related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Potential drug targets;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)","Low tissue specificity","","Detected in many","14.35 - brain","0.00 - smooth muscle","Low tissue specificity","","Detected in all","8.11 - cerebellum","5.31 - spinal cord","Low tissue specificity","","Detected in all","8.11 - cerebellum","5.02 - ventral thalamus","Low tissue specificity","","Detected in all","8.11 - cerebellar cortex","3.97 - area postrema",NA
"ENSG00000169807","PRY2","Human disease related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins","Not detected","","Not detected","0.16 - testis","0.00 - choroid plexus","Low tissue specificity","","Detected in many","3.12 - spinal cord","0.09 - choroid plexus","Tissue enhanced","medulla oblongata;pons;spinal cord","Detected in some","3.12 - spinal cord","0.05 - retrosplenial cortex","Tissue enhanced","cervical spinal cord, dorsal horn;dorsal tegmental nucleus;dorsolateral tegmental area;gigantocellular reticular nuclei, medullary;lateral vestibular nucleus;locus coeruleus;motor trigeminal nucleus;parvicellular reticular nuclei, medullary;periaquaductal grey, dorsal;spinal trigeminal nucleus, oral","Detected in some","3.12 - cervical spinal cord, dorsal horn","0.00 - angular gyrus (white matter)",NA
"ENSG00000198692","EIF1AY","Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)","Tissue enhanced","heart muscle;tongue","Detected in many","126.48 - tongue","0.02 - smooth muscle","Low tissue specificity","","Detected in all","6.14 - white matter","3.83 - hippocampal formation","Low tissue specificity","","Detected in all","6.14 - cerebellar white matter","3.44 - insular cortex","Low tissue specificity","","Detected in all","6.14 - cerebellar white matter","2.26 - precentral gyrus",NA
"ENSG00000183753","BPY2","Human disease related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins","Tissue enriched","testis","Detected in single","1.18 - testis","0.00 - lymphoid tissue","Not detected","","Not detected","0.08 - pons","0.00 - choroid plexus","Not detected","","Not detected","0.08 - pons","0.00 - epithalamus","Not detected","","Not detected","0.08 - paramedian reticular nucleus","0.00 - somatomor cortex, precentral gyrus (white matter)",NA
"ENSG00000236424","TSPY10","Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins","Tissue enriched","testis","Detected in single","1.97 - testis","0.00 - choroid plexus","Not detected","","Not detected","0.01 - medulla oblongata","0.00 - choroid plexus","Not detected","","Not detected","0.01 - medulla oblongata","0.00 - retrosplenial cortex","Not detected","","Not detected","0.01 - nucleus ambiguus","0.00 - ventral medullary reticular nucleus",NA
"ENSG00000258992","TSPY1","Disease related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins","Tissue enriched","testis","Detected in single","7.19 - testis","0.00 - choroid plexus","Not detected","","Not detected","0.07 - white matter","0.00 - choroid plexus","Not detected","","Not detected","0.07 - cortical white matter","0.00 - spinal cord white matter","Not detected","","Not detected","0.07 - somatosensory cortex, postcentral gyrus, ventral (white matter)","0.00 - periaquaductal grey, anterior",NA
"ENSG00000244395","RBMY1D","Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins","Tissue enriched","testis","Detected in single","1.38 - testis","0.00 - choroid plexus","Not detected","","Not detected","0.22 - medulla oblongata","0.00 - amygdala","Not detected","","Not detected","0.22 - medulla oblongata","0.00 - epithalamus","Not detected","","Not detected","0.22 - parvicellular reticular nuclei, medullary","0.00 - somatomor cortex, precentral gyrus (white matter)",NA
"ENSG00000169953","HSFY2","Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Transcription factors;Transcription factors predicted","Tissue enriched","testis","Detected in single","20.51 - testis","0.00 - choroid plexus","Low tissue specificity","","Detected in many","2.47 - cerebral cortex","0.38 - choroid plexus","Low tissue specificity","","Detected in some","2.47 - parietal cortex","0.26 - cerebellar white matter","Low tissue specificity","","Detected in some","2.47 - postcentral gyrus","0.14 - angular gyrus (white matter)",NA
"ENSG00000012817","KDM5D","Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Predicted intracellular proteins;Protein evidence (Kim et al 2014);Transcription factors;Transcription factors predicted","Low tissue specificity","","Detected in many","34.27 - intestine","0.02 - smooth muscle","Low tissue specificity","","Detected in all","15.18 - choroid plexus","8.87 - spinal cord","Low tissue specificity","","Detected in all","15.18 - choroid plexus","8.27 - retrosplenial cortex","Low tissue specificity","","Detected in all","15.18 - choroid plexus","7.41 - median raphe nucleus",NA
"ENSG00000172468","HSFY1","Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Transcription factors;Transcription factors predicted","Tissue enriched","testis","Detected in single","10.30 - testis","0.00 - vagina","Not detected","","Not detected","0.96 - white matter","0.39 - hippocampal formation","Not detected","","Not detected","0.96 - cortical white matter","0.30 - claustrum","Not detected","","Not detected","0.96 - angular gyrus (white matter)","0.00 - somatomor cortex, precentral gyrus (white matter)",NA
"ENSG00000176679","TGIF2LY","Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Transcription factors;Transcription factors predicted","Tissue enriched","testis","Detected in single","3.94 - testis","0.00 - choroid plexus","Not detected","","Not detected","0.04 - medulla oblongata","0.00 - choroid plexus","Not detected","","Not detected","0.04 - medulla oblongata","0.00 - retrosplenial cortex","Not detected","","Not detected","0.04 - superior vestibular nucleus","0.00 - somatomor cortex, precentral gyrus (white matter)",NA
"ENSG00000169800","RBMY1F","Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins","Tissue enriched","testis","Detected in single","3.20 - testis","0.00 - choroid plexus","Not detected","","Not detected","0.04 - pons","0.00 - spinal cord","Not detected","","Not detected","0.04 - pons","0.00 - spinal cord white matter","Not detected","","Not detected","0.04 - lateral vestibular nucleus","0.00 - periaquaductal grey, anterior",NA
"ENSG00000182415","CDY2A","Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins","Group enriched","epididymis;testis","Detected in some","1.94 - testis","0.00 - choroid plexus","Not detected","","Not detected","0.09 - medulla oblongata","0.00 - choroid plexus","Not detected","","Not detected","0.09 - medulla oblongata","0.00 - retrosplenial cortex","Not detected","","Not detected","0.09 - motor hypoglossal nucleus","0.00 - somatomor cortex, precentral gyrus (white matter)",NA
"ENSG00000185894","BPY2C","Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins","Tissue enriched","testis","Detected in single","1.18 - testis","0.00 - lymphoid tissue","Not detected","","Not detected","0.08 - pons","0.00 - choroid plexus","Not detected","","Not detected","0.08 - pons","0.00 - epithalamus","Not detected","","Not detected","0.08 - paramedian reticular nucleus","0.00 - somatomor cortex, precentral gyrus (white matter)",NA
"ENSG00000205916","DAZ4","Disease related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins","Group enriched","stomach 1;testis","Detected in some","25.24 - stomach 1","0.00 - choroid plexus","Not detected","","Not detected","0.19 - spinal cord","0.01 - choroid plexus","Not detected","","Not detected","0.19 - spinal cord","0.00 - epithalamus","Not detected","","Not detected","0.19 - cervical spinal cord, dorsal horn","0.00 - somatosensory cortex, postcentral gyrus, ventral (white matter)",NA
"ENSG00000129873","CDY2B","Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins","Not detected","","Not detected","0.52 - testis","0.00 - lymphoid tissue","Not detected","","Not detected","0.04 - medulla oblongata","0.00 - choroid plexus","Not detected","","Not detected","0.04 - medulla oblongata","0.00 - retrosplenial cortex","Not detected","","Not detected","0.04 - motor hypoglossal nucleus","0.00 - somatomor cortex, precentral gyrus (white matter)",NA
"ENSG00000184895","SRY","Disease related genes;Human disease related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Transcription factors","Tissue enhanced","skin 1;testis","Detected in some","2.25 - testis","0.00 - tongue","Low tissue specificity","","Detected in single","1.40 - midbrain","0.09 - hypothalamus","Tissue enhanced","tegmentum","Detected in single","1.40 - tegmentum","0.04 - ventral thalamus","Tissue enhanced","periaquaductal grey, lateral","Detected in single","1.40 - periaquaductal grey, lateral","0.00 - somatomor cortex, precentral gyrus (white matter)",NA
"ENSG00000129824","RPS4Y1","Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Ribosomal proteins","Low tissue specificity","","Detected in many","367.79 - tongue","0.23 - smooth muscle","Low tissue specificity","","Detected in all","18.05 - medulla oblongata","10.41 - hippocampal formation","Low tissue specificity","","Detected in all","18.05 - medulla oblongata","9.22 - cingulate cortex","Low tissue specificity","","Detected in all","18.05 - peritrigeminal nucleus","6.28 - precentral gyrus",NA
"ENSG00000067646","ZFY","Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Kim et al 2014);Transcription factors;Transcription factors predicted","Low tissue specificity","","Detected in many","7.91 - bone marrow","0.00 - smooth muscle","Low tissue specificity","","Detected in all","8.30 - cerebellum","3.71 - hippocampal formation","Low tissue specificity","","Detected in all","8.30 - cerebellum","3.39 - epithalamus","Low tissue specificity","","Detected in all","8.30 - cerebellar cortex","2.87 - precentral gyrus",NA
"ENSG00000067048","DDX3Y","Disease related genes;Enzymes;Human disease related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Potential drug targets;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)","Tissue enhanced","bone marrow","Detected in many","94.57 - bone marrow","0.06 - endometrium 1","Low tissue specificity","","Detected in all","16.56 - choroid plexus","9.36 - amygdala","Low tissue specificity","","Detected in all","16.56 - choroid plexus","8.47 - epithalamus","Low tissue specificity","","Detected in all","16.56 - choroid plexus","7.48 - centromedial thalamic nucleus",NA
"ENSG00000183878","UTY","Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins by Leigh Anderson;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014)","Low tissue specificity","","Detected in many","6.71 - prostate","0.01 - fallopian tube","Low tissue specificity","","Detected in all","10.01 - white matter","6.01 - hippocampal formation","Low tissue specificity","","Detected in all","10.01 - cortical white matter","5.44 - epithalamus","Low tissue specificity","","Detected in all","10.01 - corpus callosum, genu (white matter)","3.39 - precentral gyrus",NA
"ENSG00000154620","TMSB4Y","Cytoskeleton related proteins;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Kim et al 2014)","Tissue enhanced","intestine","Detected in many","6.42 - intestine","0.00 - smooth muscle","Low tissue specificity","","Detected in all","4.51 - medulla oblongata","1.71 - choroid plexus","Low tissue specificity","","Detected in all","4.51 - medulla oblongata","1.71 - choroid plexus","Low tissue specificity","","Detected in all","4.51 - ventral medullary reticular nucleus","1.61 - flocculonodular lobe",NA
"ENSG00000129864","VCY","Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins","Tissue enriched","testis","Detected in single","58.39 - testis","0.00 - choroid plexus","Not detected","","Not detected","0.25 - cerebral cortex","0.00 - spinal cord","Not detected","","Not detected","0.25 - frontal cortex","0.00 - retrosplenial cortex","Not detected","","Not detected","0.25 - orbitofrontal gyrus, anterior","0.00 - somatomor cortex, precentral gyrus (white matter)",NA
"ENSG00000187191","DAZ3","Disease related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins","Tissue enhanced","testis","Detected in single","1.44 - testis","0.00 - lymphoid tissue","Not detected","","Not detected","0.07 - medulla oblongata","0.00 - midbrain","Not detected","","Not detected","0.07 - medulla oblongata","0.00 - tuberal hypothalamus","Not detected","","Not detected","0.07 - parvicellular reticular nuclei, medullary","0.00 - somatomor cortex, precentral gyrus (white matter)",NA
"ENSG00000188120","DAZ1","Disease related genes;Human disease related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins","Tissue enriched","testis","Detected in single","2.00 - testis","0.00 - choroid plexus","Not detected","","Not detected","0.15 - hypothalamus","0.00 - choroid plexus","Not detected","","Not detected","0.15 - supraoptic hypothalamus","0.00 - epithalamus","Not detected","","Not detected","0.15 - preoptic area","0.00 - somatomor cortex, precentral gyrus (white matter)",NA
"ENSG00000099721","AMELY","Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted secreted proteins","Not detected","","Not detected","0.31 - thyroid gland","0.00 - choroid plexus","Not detected","","Not detected","0.13 - medulla oblongata","0.01 - choroid plexus","Not detected","","Not detected","0.13 - medulla oblongata","0.00 - retrosplenial cortex","Not detected","","Not detected","0.13 - superior vestibular nucleus","0.00 - somatomor cortex, precentral gyrus (white matter)",NA
"ENSG00000092377","TBL1Y","Disease related genes;Human disease related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins","Tissue enhanced","prostate;thyroid gland","Detected in some","2.87 - prostate","0.00 - choroid plexus","Low tissue specificity","","Detected in some","2.80 - basal ganglia","0.35 - hippocampal formation","Tissue enhanced","basal forebrain;Striatum","Detected in some","2.80 - basal forebrain","0.20 - insular cortex","Tissue enhanced","caudate nucleus;nucleus basalis of Meynert;putamen","Detected in some","2.80 - nucleus basalis of Meynert","0.00 - somatomor cortex, precentral gyrus (white matter)",NA
"ENSG00000205944","DAZ2","Disease related genes;Human disease related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins","Group enriched","stomach 1;testis","Detected in some","5.21 - stomach 1","0.00 - choroid plexus","Not detected","","Not detected","0.11 - hypothalamus","0.00 - hippocampal formation","Not detected","","Not detected","0.11 - supraoptic hypothalamus","0.00 - epithalamus","Not detected","","Not detected","0.11 - paraventricular nucleus","0.00 - somatomor cortex, precentral gyrus (white matter)",NA
"ENSG00000168757","TSPY2","Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins","Tissue enriched","testis","Detected in single","7.48 - testis","0.00 - choroid plexus","Not detected","","Not detected","0.41 - white matter","0.03 - choroid plexus","Not detected","","Not detected","0.41 - cortical white matter","0.02 - epithalamus","Not detected","","Not detected","0.41 - somatosensory cortex, postcentral gyrus, ventral (white matter)","0.00 - precentral gyrus",NA
"ENSG00000229549","TSPY8","Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins","Tissue enriched","testis","Detected in single","1.29 - testis","0.00 - choroid plexus","Not detected","","Not detected","0.04 - midbrain","0.00 - spinal cord","Not detected","","Not detected","0.04 - tectum","0.00 - spinal cord","Not detected","","Not detected","0.04 - superior colliculus","0.00 - paraventricular nucleus",NA
"ENSG00000228927","TSPY3","Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins","Tissue enriched","testis","Detected in single","2.93 - testis","0.00 - choroid plexus","Not detected","","Not detected","0.09 - hypothalamus","0.00 - choroid plexus","Not detected","","Not detected","0.09 - tuberal hypothalamus","0.00 - epithalamus","Not detected","","Not detected","0.09 - arcuate nucleus","0.00 - somatomor cortex, precentral gyrus (white matter)",NA
"ENSG00000242389","RBMY1E","Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins","Tissue enriched","testis","Detected in single","2.59 - testis","0.00 - lymphoid tissue","Not detected","","Not detected","0.04 - hypothalamus","0.00 - choroid plexus","Not detected","","Not detected","0.04 - tuberal hypothalamus","0.00 - epithalamus","Not detected","","Not detected","0.04 - dorsomedial nucleus","0.00 - somatomor cortex, precentral gyrus (white matter)",NA
"ENSG00000165246","NLGN4Y","Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Predicted membrane proteins","Tissue enhanced","seminal vesicle","Detected in many","7.14 - seminal vesicle","0.00 - bone marrow","Low tissue specificity","","Detected in all","9.60 - white matter","4.84 - choroid plexus","Low tissue specificity","","Detected in all","9.60 - cortical white matter","4.84 - choroid plexus","Low tissue specificity","","Detected in all","9.60 - somatomor cortex, precentral gyrus (white matter)","3.70 - area postrema",NA
"ENSG00000129862","VCY1B","Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins","Tissue enriched","testis","Detected in single","55.61 - testis","0.00 - choroid plexus","Not detected","","Not detected","0.02 - choroid plexus","0.00 - spinal cord","Not detected","","Not detected","0.02 - choroid plexus","0.00 - spinal cord","Not detected","","Not detected","0.02 - choroid plexus","0.00 - somatomor cortex, precentral gyrus (white matter)",NA
"ENSG00000280969","RPS4Y2","Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Ribosomal proteins","Group enriched","prostate;testis","Detected in some","1.91 - prostate","0.00 - choroid plexus","Not detected","","Not detected","0.20 - spinal cord","0.00 - choroid plexus","Not detected","","Not detected","0.20 - spinal cord","0.00 - epithalamus","Not detected","","Not detected","0.20 - cervical spinal cord, dorsal horn","0.00 - angular gyrus (white matter)",NA
"ENSG00000099715","PCDH11Y","Disease related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Predicted membrane proteins","Tissue enhanced","brain","Detected in single","2.54 - brain","0.00 - vagina","Low tissue specificity","","Detected in all","13.41 - cerebral cortex","1.43 - cerebellum","Low tissue specificity","","Detected in all","13.41 - occipital cortex","1.31 - cerebellar nucleus","Low tissue specificity","","Detected in many","13.41 - temporo-occipital transitional zone","0.88 - nucleus raphe pallidus",NA
