"ENSG","Gene","Protein.class","Consensus.RNA.Specificity","Consensus.Enriched.Enhanced.Tissue","Consensus.Distribution","Consensus.Max","Consensus.Min","Human.brain.regional.RNA.Specificity","Human.brain.regional.Enriched.Enhanced.Tissue","Human.brain.regional.Distribution","Human.brain.regional.Max","Human.brain.regional.Min","Human.brain.domain.RNA.Specificity","Human.brain.domain.Enriched.Enhanced.Tissue","Human.brain.domain.Distribution","Human.brain.domain.Max","Human.brain.domain.Min","Human.brain.subregional.RNA.Specificity","Human.brain.subregional.Enriched.Enhanced.Tissue","Human.brain.subregional.Distribution","Human.brain.subregional.Max","Human.brain.subregional.Min","X"
"ENSG00000166881","NEMP1","Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted membrane proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Transporters","Low tissue specificity","","Detected in all","15.77 - lymphoid tissue","2.23 - skeletal muscle","Low tissue specificity","","Detected in all","6.50 - white matter","4.46 - pons","Low tissue specificity","","Detected in all","6.50 - cortical white matter","3.80 - retrosplenial cortex","Low tissue specificity","","Detected in all","6.50 - corpus callosum, genu (white matter)","3.06 - paraventricular nucleus",NA
"ENSG00000166886","NAB2","Cancer-related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)","Low tissue specificity","","Detected in all","54.92 - brain","6.79 - bone marrow","Low tissue specificity","","Detected in all","31.17 - cerebellum","13.68 - spinal cord","Low tissue specificity","","Detected in all","31.17 - cerebellum","9.72 - cerebellar white matter","Low tissue specificity","","Detected in all","31.17 - flocculonodular lobe","8.54 - parieto-temporal junction (white matter)",NA
"ENSG00000166888","STAT6","Cancer-related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);SH2-domain containing proteins;Transcription factors;Transcription factors predicted","Low tissue specificity","","Detected in all","108.70 - lymphoid tissue","3.43 - retina","Low tissue specificity","","Detected in all","40.78 - choroid plexus","17.71 - cerebellum","Low tissue specificity","","Detected in all","40.78 - choroid plexus","16.72 - cerebellum","Low tissue specificity","","Detected in all","40.78 - choroid plexus","13.42 - cerebellar cortex",NA
"ENSG00000061273","HDAC7","Enzymes;FDA approved drug targets;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)","Low tissue specificity","","Detected in all","77.81 - lymphoid tissue","2.78 - retina","Low tissue specificity","","Detected in all","78.59 - choroid plexus","35.47 - cerebellum","Low tissue specificity","","Detected in all","78.59 - choroid plexus","28.26 - cerebellum","Low tissue specificity","","Detected in all","78.59 - choroid plexus","24.21 - precentral gyrus, middle",NA
"ENSG00000111424","VDR","Disease related genes;FDA approved drug targets;Human disease related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Nuclear receptors;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Transcription factors;Transcription factors predicted;Transporters","Tissue enriched","parathyroid gland","Detected in many","228.21 - parathyroid gland","0.25 - retina","Low tissue specificity","","Detected in many","3.38 - thalamus","0.64 - amygdala","Low tissue specificity","","Detected in some","3.38 - dorsal thalamus","0.46 - Striatum","Tissue enhanced","anterior thalamic nucleus, ventral","Detected in some","3.38 - anterior thalamic nucleus, ventral","0.29 - angular gyrus (white matter)",NA
"ENSG00000134291","TMEM106C","Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Predicted membrane proteins;Protein evidence (Ezkurdia et al 2014);Transporters","Low tissue specificity","","Detected in all","169.75 - choroid plexus","25.67 - skeletal muscle","Low tissue specificity","","Detected in all","65.98 - choroid plexus","17.17 - white matter","Low tissue specificity","","Detected in all","65.98 - choroid plexus","9.55 - cerebellar white matter","Low tissue specificity","","Detected in all","65.98 - choroid plexus","7.07 - parieto-temporal junction (white matter)",NA
"ENSG00000139219","COL2A1","Cancer-related genes;Disease related genes;FDA approved drug targets;Human disease related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins by Leigh Anderson;Predicted secreted proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)","Group enriched","epididymis;pituitary gland;retina;stomach 1","Detected in some","18.70 - epididymis","0.00 - tongue","Not detected","","Not detected","0.74 - hypothalamus","0.12 - white matter","Not detected","","Not detected","0.74 - supraoptic hypothalamus","0.05 - globus pallidus","Not detected","","Not detected","0.74 - lateral hypothalamic area","0.03 - occipital cortex (white matter)",NA
"ENSG00000079387","SENP1","Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014)","Tissue enhanced","salivary gland;testis","Detected in all","60.01 - testis","1.34 - choroid plexus","Low tissue specificity","","Detected in all","21.66 - cerebellum","7.05 - choroid plexus","Low tissue specificity","","Detected in all","21.66 - cerebellum","7.05 - choroid plexus","Low tissue specificity","","Detected in all","21.66 - cerebellar cortex","7.05 - choroid plexus",NA
"ENSG00000086598","TMED2","Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Predicted intracellular proteins;Predicted membrane proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Transporters","Low tissue specificity","","Detected in all","262.87 - liver","54.93 - brain","Low tissue specificity","","Detected in all","91.78 - choroid plexus","50.12 - hippocampal formation","Low tissue specificity","","Detected in all","91.78 - choroid plexus","44.03 - claustrum","Low tissue specificity","","Detected in all","91.78 - choroid plexus","34.07 - precentral gyrus",NA
"ENSG00000111364","DDX55","Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)","Low tissue specificity","","Detected in all","19.81 - bone marrow","3.31 - tongue","Low tissue specificity","","Detected in all","17.29 - cerebellum","10.99 - spinal cord","Low tissue specificity","","Detected in all","17.29 - cerebellum","9.93 - mammillary body","Low tissue specificity","","Detected in all","17.29 - vermis","9.57 - supraoptic nucleus",NA
