gene	UMAP_1	UMAP_2	UMAP_1_scaled	UMAP_2_scaled	UMAP Cluster blood	UMAP Cluster brain	UMAP Cluster singlecell	UMAP Cluster tissue	UMAP Cluster celline
ENSG00000000003	-2.90324354	-7.483289546	-0.325731364	-0.884051412	43	3	36	8	53
ENSG00000000005	-4.740136458	-5.995992547	-0.545271775	-0.706293748	0	36	41	7	34
ENSG00000000419	-4.673798872	-1.369406885	-0.537343289	-0.153336899	33	21	35	35	62
ENSG00000000457	-3.336437954	2.972176367	-0.377505574	0.365557243	5	50	55	1	45
ENSG00000000460	-4.098144604	3.420458609	-0.468542667	0.419134709	10	55	58	16	45
ENSG00000000938	-8.150992705	-6.18413136	-0.952927974	-0.728779583	37	47	29	81	55
ENSG00000000971	-6.309191538	-5.56095103	-0.732800942	-0.654298777	1	42	53	83	71
ENSG00000001036	-3.478538824	2.303372199	-0.394489081	0.2856236	38	50	77	24	28
ENSG00000001084	-4.692236377	6.728665167	-0.539546889	0.814522497	41	13	12	83	7
ENSG00000001167	-4.890011622	6.611089522	-0.563184444	0.800470178	33	11	63	40	28
ENSG00000001460	2.189522909	-1.226036733	0.282942136	-0.136201691	12	52	63	8	37
ENSG00000001461	-2.209267808	4.096016699	-0.242789285	0.499875562	5	26	40	9	64
ENSG00000001497	-4.709644033	5.632738883	-0.541627404	0.683540389	13	13	63	66	36
ENSG00000001561	-5.960797621	4.273145491	-0.691161855	0.52104551	3	28	3	9	15
ENSG00000001617	0.297361778	-2.268575376	0.05679622	-0.260803054	0	38	12	27	48
ENSG00000001626	-5.442437483	6.936297232	-0.62920887	0.839338113	0	11	45	15	57
ENSG00000001629	-4.546573473	6.307684714	-0.522137657	0.764208066	14	13	51	61	39
ENSG00000001630	0.17583649	0.954957777	0.04227185	0.124464801	13	49	62	69	57
ENSG00000001631	3.931308435	3.671360785	0.491115573	0.44912185	5	55	49	51	39
ENSG00000002016	-5.397782875	7.050934607	-0.623871874	0.853039258	5	11	8	19	38
ENSG00000002330	-2.84974864	-0.5986597	-0.3193378	-0.061219306	29	27	5	43	24
ENSG00000002549	-2.19890715	-2.491484111	-0.241551007	-0.287444496	10	19	41	70	31
